reporting_period,organisation,sector,feedback_category,Feedback_channel,status,District,SubDistrict,location,LAT,LON
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
